1.jpg 0 [133.73519897460938,65.8331527709961]
1.jpg 1 [138.00550842285156,16.093521118164062]
1.jpg 2 [153.68429565429688,91.84673690795898]
10.jpg 0 [66.66899108886719,133.5307388305664]
10.jpg 1 [186.87155151367188,177.97305887937546]
100.jpg 0 [126.73410034179688,98.35723114013672]
101.jpg 0 [42.41249465942383,92.97688674926758]
101.jpg 1 [225.63299560546875,138.6080503463745]
101.jpg 2 [168.82839965820312,114.96912956237793]
101.jpg 3 [63.33898162841797,50.48088073730469]
101.jpg 4 [167.944091796875,65.2040901184082]
101.jpg 5 [122.72904205322266,87.57666397094727]
101.jpg 6 [91.26103210449219,122.97859001159668]
101.jpg 7 [25.571401596069336,43.51707458496094]
101.jpg 8 [213.1216583251953,88.12351608276367]
101.jpg 9 [254.7818603515625,157.10340332984924]
101.jpg 10 [41.12109375,132.58147621154785]
102.jpg 0 [149.86428833007812,53.84259796142578]
102.jpg 1 [183.91732788085938,123.11671257019043]
102.jpg 2 [99.2801513671875,50.4463005065918]
102.jpg 3 [204.03927612304688,50.57318115234375]
102.jpg 4 [252.6636962890625,144.67697620391846]
103.jpg 0 [94.38676452636719,39.711280822753906]
103.jpg 1 [83.65675354003906,152.04599809646606]
103.jpg 2 [189.5406951904297,148.98550510406494]
103.jpg 3 [184.34335327148438,92.50844955444336]
103.jpg 4 [126.16166687011719,141.81535053253174]
103.jpg 5 [156.48135375976562,71.6598892211914]
103.jpg 6 [27.278854370117188,133.96814346313477]
103.jpg 7 [132.86912536621094,69.69145965576172]
104.jpg 0 [65.26849365234375,56.90719985961914]
104.jpg 1 [143.02227783203125,93.85106086730957]
104.jpg 2 [208.33172607421875,91.12156105041504]
104.jpg 3 [189.67697143554688,74.08923721313477]
105.jpg 0 [120.91778564453125,52.93940734863281]
105.jpg 1 [163.99981689453125,100.60951614379883]
105.jpg 2 [173.89840698242188,141.61228561401367]
105.jpg 3 [221.76824951171875,60.423946380615234]
105.jpg 4 [49.52708435058594,117.99516105651855]
105.jpg 5 [158.8841552734375,51.483577728271484]
105.jpg 6 [129.35671997070312,121.9355239868164]
105.jpg 7 [93.01725769042969,163.71744871139526]
105.jpg 8 [72.42516326904297,101.96272277832031]
105.jpg 9 [108.02494049072266,146.42506980895996]
106.jpg 0 [213.45797729492188,76.4342041015625]
106.jpg 1 [64.10374450683594,73.89411926269531]
106.jpg 2 [141.39468383789062,54.23463439941406]
107.jpg 0 [150.20452880859375,98.57567977905273]
107.jpg 1 [92.81117248535156,49.50745391845703]
107.jpg 2 [113.2542724609375,98.55350112915039]
108.jpg 0 [172.3770294189453,106.80705070495605]
108.jpg 1 [84.89164733886719,105.7406997680664]
108.jpg 2 [68.63258361816406,67.37298583984375]
109.jpg 0 [255.27777099609375,107.74485778808594]
109.jpg 1 [195.15533447265625,22.551895141601562]
109.jpg 2 [260.6280822753906,26.089988708496094]
109.jpg 3 [139.81723022460938,95.59616088867188]
109.jpg 4 [16.02284812927246,144.33506965637207]
109.jpg 5 [85.07279968261719,55.355751037597656]
109.jpg 6 [37.74073028564453,14.362457275390625]
109.jpg 7 [234.27288818359375,6.115509033203125]
109.jpg 8 [178.63809204101562,82.57867050170898]
109.jpg 9 [35.2271728515625,98.83024597167969]
109.jpg 10 [142.0224609375,32.726531982421875]
109.jpg 11 [112.37840270996094,42.44557189941406]
109.jpg 12 [202.12847900390625,95.20270156860352]
109.jpg 13 [70.0670166015625,157.24526596069336]
109.jpg 14 [69.72660064697266,102.36100006103516]
109.jpg 15 [73.21430969238281,122.6988296508789]
109.jpg 16 [95.0606689453125,89.75257873535156]
109.jpg 17 [139.48516845703125,10.620193481445312]
11.jpg 0 [193.162109375,68.33867645263672]
11.jpg 1 [53.817291259765625,125.12317085266113]
11.jpg 2 [241.4056396484375,124.1169490814209]
11.jpg 3 [145.8489990234375,159.4668092727661]
110.jpg 0 [140.2638397216797,98.04948616027832]
111.jpg 0 [141.8784942626953,100.39763832092285]
112.jpg 0 [133.2635498046875,95.81613159179688]
112.jpg 1 [250.03131103515625,20.678756713867188]
112.jpg 2 [16.675003051757812,161.93957233428955]
112.jpg 3 [187.99368286132812,97.82962799072266]
115.jpg 0 [226.50537109375,62.81451416015625]
115.jpg 1 [118.97994995117188,105.3183708190918]
115.jpg 2 [133.0293731689453,105.89834213256836]
115.jpg 3 [62.74812316894531,112.36896514892578]
115.jpg 4 [16.473268508911133,59.00274658203125]
115.jpg 5 [140.16265869140625,62.49468994140625]
116.jpg 0 [78.72824096679688,25.201087951660156]
116.jpg 1 [180.78103637695312,116.56983757019043]
116.jpg 2 [222.07608032226562,40.223289489746094]
116.jpg 3 [218.83013916015625,116.55817031860352]
116.jpg 4 [116.22288513183594,93.21723937988281]
116.jpg 5 [89.3534164428711,162.62728309631348]
116.jpg 6 [178.05828857421875,78.47454071044922]
116.jpg 7 [53.265892028808594,115.00111198425293]
116.jpg 8 [20.270166397094727,134.4632806777954]
118.jpg 0 [249.15005493164062,28.2288818359375]
118.jpg 1 [235.11862182617188,37.664024353027344]
118.jpg 2 [240.92222595214844,14.207809448242188]
118.jpg 3 [183.4251708984375,129.74580764770508]
118.jpg 4 [49.800498962402344,48.67439270019531]
118.jpg 5 [174.7477264404297,89.77678680419922]
118.jpg 6 [238.58157348632812,74.06201171875]
119.jpg 0 [91.77418518066406,145.87872123718262]
119.jpg 1 [259.3489074707031,53.593753814697266]
119.jpg 2 [236.02276611328125,115.06250190734863]
119.jpg 3 [226.1366424560547,92.25807189941406]
119.jpg 4 [69.41889953613281,162.63171577453613]
119.jpg 5 [196.708740234375,42.903018951416016]
119.jpg 6 [76.68666076660156,77.15456008911133]
12.jpg 0 [46.97228240966797,109.13061141967773]
12.jpg 1 [156.29119873046875,107.51204299926758]
12.jpg 2 [67.27835083007812,76.89784622192383]
12.jpg 3 [92.1695327758789,89.29254913330078]
12.jpg 4 [113.76087188720703,63.96977615356445]
12.jpg 5 [239.74476623535156,148.86383819580078]
12.jpg 6 [62.125606536865234,34.800148010253906]
12.jpg 7 [121.20743560791016,95.60317611694336]
12.jpg 8 [162.340087890625,73.97471237182617]
12.jpg 9 [198.32273864746094,175.60998386144638]
12.jpg 10 [91.16061401367188,44.84368896484375]
12.jpg 11 [155.78489685058594,8.643218994140625]
12.jpg 12 [176.40234375,114.61009216308594]
121.jpg 0 [192.635498046875,153.66285037994385]
121.jpg 1 [189.77806091308594,78.33065032958984]
121.jpg 2 [76.10092163085938,39.099761962890625]
